pickup_x,pickup_y,dropoff_x,dropoff_y,pickup_sec
10,12,10,12,82438
16,7,11,14,69716
10,12,10,13,36556
9,11,9,11,81520
9,11,9,13,72539
10,13,11,14,23848
10,13,9,13,52860
9,12,9,10,68520
10,13,9,12,45440
13,13,9,10,65659
9,11,8,10,36152
9,12,9,12,72798
9,12,10,13,52885
10,13,10,13,43377
9,10,11,8,76955
10,12,10,13,60026
9,11,9,8,55838
10,11,11,8,69521
10,13,10,12,63396
10,13,10,13,47371
9,12,16,7,21166
10,12,10,13,58239
8,10,9,12,82177
10,13,10,12,35427
10,13,11,14,73666
10,13,10,13,69802
11,13,9,11,73377
9,11,9,11,26569
9,12,9,13,45185
10,13,10,12,27799
8,11,9,11,54426
9,11,10,12,64382
10,14,10,12,26079
16,7,11,12,27881
10,12,9,11,56206
11,14,11,14,62991
10,13,9,12,60988
9,12,9,11,55515
9,11,9,13,8157
10,12,9,12,55987
9,12,9,10,85147
10,12,10,12,32150
9,11,9,11,15514
10,14,11,15,655
9,12,11,9,81018
10,13,10,13,45082
9,13,9,13,25185
9,11,9,11,45920
11,13,10,12,38175
9,12,10,12,76067
9,10,9,11,81757
10,13,10,13,16889
9,12,13,13,50815
10,12,10,13,56397
16,7,16,10,48265
13,13,9,12,30354
10,12,11,13,41268
10,12,10,12,70047
9,13,10,13,65632
10,14,10,13,38219
10,13,10,12,72727
10,12,9,12,67783
16,7,10,13,59275
10,13,10,12,30761
9,12,9,12,55678
10,13,9,12,37595
9,12,9,12,74952
9,13,9,13,48835
13,13,10,13,35718
10,13,10,13,42455
9,12,10,14,53372
9,11,9,11,9505
16,7,9,12,39544
10,12,10,11,59112
10,11,11,17,81069
10,13,10,13,56570
9,13,11,14,78626
9,10,9,9,68491
10,13,10,13,33073
9,11,10,12,83828
9,12,9,12,67035
9,12,9,11,61869
10,13,10,13,59274
10,12,9,12,41704
9,11,11,13,78083
10,13,10,14,60836
9,12,9,12,51639
10,13,9,13,30703
10,13,10,12,71823
9,10,10,11,45462
9,12,9,12,70330
16,7,10,6,24165
9,12,11,14,38601
16,7,9,10,45292
9,11,9,12,68772
9,13,9,12,64230
9,11,9,9,70627
10,13,11,13,71463
10,13,10,9,47662
10,13,9,10,49084
11,13,10,13,2371
10,12,10,13,50400
9,12,10,14,80166
8,10,9,11,59126
10,13,10,13,39889
10,13,10,13,62888
11,14,10,11,80753
10,12,10,11,69184
9,12,9,12,54000
9,13,9,13,61443
10,14,11,14,46432
9,11,8,10,11220
10,13,8,10,55519
10,12,10,13,35503
10,12,10,12,51926
10,12,9,12,27026
9,12,9,10,1591
9,12,9,11,38043
10,11,16,7,63085
9,11,9,12,33556
10,13,10,14,72986
10,13,10,12,75795
9,11,9,12,80472
11,13,10,13,32019
9,12,10,12,70386
9,11,9,12,44432
10,11,10,13,57618
9,9,8,10,46434
9,12,10,13,64414
10,14,9,11,46536
9,12,8,10,48059
9,11,10,12,19802
9,12,9,12,44052
10,11,10,12,48319
9,11,10,13,29875
10,13,10,11,69472
10,12,10,13,65643
9,11,9,11,74612
9,13,9,12,47223
16,7,14,11,35801
10,13,10,12,60860
11,13,10,13,73064
10,15,11,14,53940
9,12,9,12,85029
10,13,9,13,50160
16,7,10,5,77960
11,13,10,13,26108
9,11,9,12,81467
10,13,10,14,56414
10,13,9,10,69164
9,12,9,12,84629
9,11,10,11,64589
16,7,9,12,48399
11,14,9,11,25760
11,13,9,11,23485
9,12,10,14,67151
10,13,9,13,71213
10,13,10,13,52856
10,12,10,12,35336
9,12,9,13,77407
9,11,10,11,29293
10,12,10,12,78379
9,11,10,10,1749
9,12,16,7,72749
9,12,10,14,68226
10,13,10,13,50914
10,12,9,11,65058
10,15,10,14,54149
16,7,9,12,66854
9,12,9,12,63496
9,12,9,12,67428
9,12,9,12,42545
9,11,10,13,78292
10,13,10,13,33369
10,12,9,11,48926
9,11,9,12,38954
9,12,11,15,3854
9,13,10,12,32229
9,11,10,12,35076
9,11,9,12,59020
9,12,10,15,71765
9,13,9,12,59369
10,12,10,13,78466
9,11,10,11,62368
10,12,9,11,46952
16,7,11,9,75979
10,13,10,12,71465
12,13,11,14,32816
10,13,11,13,43277
10,13,11,13,50533
9,12,9,11,57377
10,12,10,12,46365
9,13,10,14,27958
13,13,9,12,58117
10,13,10,12,60512
10,14,10,13,64792
8,10,9,12,41792
11,13,11,14,48628
9,12,9,11,70590
9,11,9,11,73366
16,7,9,12,53615
16,7,9,11,2173
10,12,10,13,43622
10,12,10,12,38778
9,12,10,10,7952
16,7,11,14,59478
10,12,9,12,66201
